测试脚本名称,性能检查点, 标准时间,超时标准,超时上限,竞品值,容忍值,业务场景,实测值,结果
3W_立面视口激活下标注创建和编辑,立面视口激活,1.3,绝对值,1.4,0.5,,0,0.985,提升
3W_立面视口激活下标注创建和编辑,激活视口尺寸标注拾取一个节点,0.4,绝对值,0.5,0.2,,0,0.312,提升
3W_立面视口激活下标注创建和编辑,激活视口尺寸标注拾取二个节点,0.3,绝对值,0.4,0.2,,0,0.141,提升
3W_立面视口激活下标注创建和编辑,激活视口尺寸标注创建一个区间,0.0,绝对值,0.1,0.2,,0,0.016,正常
3W_立面视口激活下标注创建和编辑,激活视口尺寸标注创建,0.8,绝对值,0.9,0.5,,0,0.5,提升
3W_立面视口激活下标注创建和编辑,激活视口尺寸标注增删,0.2,绝对值,0.3,0.5,,0,0.234,正常
3W_立面视口激活下标注创建和编辑,激活视口尺寸选中高亮,0.0,绝对值,0.1,0.2,,0,0.016,正常
3W_立面视口激活下标注创建和编辑,激活视口尺寸移动一个节点,0.0,绝对值,0.1,0.2,,0,0.094,正常
3W_立面视口激活下标注创建和编辑,激活视口尺寸标注移动,0.2,绝对值,0.3,0.2,,0,0.141,提升
3W_立面视口激活下标注创建和编辑,激活视口尺寸标注文字移动一个节点,0.0,绝对值,0.1,0.2,,0,0.015,正常
3W_立面视口激活下标注创建和编辑,激活视口尺寸标注文字移动,0.1,绝对值,0.2,0.2,,0,0.093,提升
3W_立面视口激活下标注创建和编辑,立面视口取消激活,0.0,绝对值,0.1,0.5,,0,0.078,正常
3W_立面视口拖拽和夹点编辑,视口拖拽节点,0.0,绝对值,0.1,0.2,0.3,1,0.015,正常
3W_立面视口拖拽和夹点编辑,视口拖拽,1.0,绝对值,1.3,0.5,,0,1.343,衰退
3W_立面视口拖拽和夹点编辑,视口夹点编辑节点,0.0,绝对值,0.1,0.2,0.3,1,0.0,正常
3W_立面视口拖拽和夹点编辑,视口夹点编辑,0.3,绝对值,0.4,0.2,,0,0.204,提升
performance_导入cad图纸,导入图纸不替换文字,8.0,绝对值,9.0,1,,0,7.485,提升
performance_导入cad图纸,移动图纸1,1.2,绝对值,1.3,1,,0,1.125,提升
performance_导入cad图纸,复制图纸1,3.0,绝对值,3.5,1,,0,2.641,提升
performance_导入cad图纸,导入替换文字样式的图纸,8.0,绝对值,8.3,1,,0,6.562,提升
performance_导入cad图纸,移动图纸2,1.2,绝对值,1.3,1,,0,1.203,正常
performance_导入cad图纸,复制图纸2,1.5,绝对值,2.0,1,,0,1.609,正常
3W_出图设置,创建已打开平面视口,0.5,绝对值,0.6,1,3,1,0.328,提升
3W_出图设置,创建未打开平面视口,1.9,绝对值,2.0,1,3,1,0.954,提升
3W_出图设置,创建未打开立面视口,3.9,绝对值,4.0,3,10,1,1.484,提升
